Player,season,Date(M/D/Y),home,Team,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,TS%,FP,2PM,2PA,2P%,USG_Proxy_per_MIN,rest_days
Assem Marei,25-26,4-5-2026,1,Changwon LG Sakers,Jeonju KCC Egis,L,Starter,C,26.85,4,2,13,0.154,0,0,0,0,0,0,2,4,6,6,3,0,4,4,0.153846154,25.2,2,13,0.154,0.633,2
Assem Marei,25-26,4-3-2026,0,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,C,23.03,21,10,16,0.625,0,0,0,1,5,0.2,3,12,15,8,1,2,3,3,0.576923077,57,10,16,0.625,0.921,3
Assem Marei,25-26,3/31/2026,0,Changwon LG Sakers,Anyang KGC,L,Starter,PF,37.57,25,11,18,0.611,1,3,0.333,2,6,0.333,5,12,17,6,0,0,6,2,0.605620155,48.4,10,15,0.667,0.709,2
Assem Marei,25-26,3/29/2026,1,Changwon LG Sakers,Seoul SK,W,Starter,C,34.50,11,5,11,0.455,0,0,0,1,4,0.25,4,7,11,7,1,0,5,4,0.431034483,32.7,5,11,0.455,0.515,3
Assem Marei,25-26,3/26/2026,0,Changwon LG Sakers,Korea Gas Corporation,W,Starter,C,30.27,17,7,12,0.583,0,0,0,3,3,1,1,11,12,8,1,2,2,2,0.638138138,50.4,7,12,0.583,0.506,11
Assem Marei,25-26,3/15/2026,0,Changwon LG Sakers,Wonju Dongbu Promy,W,Starter,C,36.20,28,11,15,0.733,1,1,1,5,11,0.455,5,12,17,5,5,0,2,3,0.705645161,68.9,10,14,0.714,0.603,2
Assem Marei,25-26,3/13/2026,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,C,27.50,8,2,9,0.222,0,0,0,4,7,0.571,7,8,15,9,1,1,1,4,0.331125828,44.5,2,9,0.222,0.476,2
Assem Marei,25-26,3-11-2026,1,Changwon LG Sakers,Goyang Sono Skygunners,L,Starter,C,32.93,14,6,11,0.545,0,0,0,2,6,0.333,5,4,9,3,1,1,2,4,0.513196481,33.3,6,11,0.545,0.475,3
Assem Marei,25-26,3-8-2026,1,Changwon LG Sakers,Seoul SK,L,Starter,C,37.62,16,5,12,0.417,0,0,0,6,9,0.667,5,10,15,5,1,0,3,4,0.501253133,41.5,5,12,0.417,0.504,2
Assem Marei,25-26,3-6-2026,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,C,32.33,25,12,18,0.667,0,0,0,1,4,0.25,6,13,19,3,2,0,6,3,0.632591093,52.3,12,18,0.667,0.797,16
Assem Marei,25-26,2/18/2026,0,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,PF,29.08,24,10,17,0.588,0,0,0,4,4,1,6,7,13,8,3,1,2,3,0.639658849,61.6,10,17,0.588,0.714,2
Assem Marei,25-26,2/16/2026,1,Changwon LG Sakers,Goyang Sono Skygunners,L,Starter,C,25.73,17,8,17,0.471,0,0,0,1,4,0.25,6,7,13,5,3,0,1,3,0.453091684,48.1,8,17,0.471,0.768,6
Assem Marei,25-26,2-10-2026,0,Changwon LG Sakers,Korea Gas Corporation,L,Starter,C,35.33,18,7,15,0.467,0,0,0,4,7,0.571,5,14,19,10,7,0,2,2,0.497787611,74.8,7,15,0.467,0.568,2
Assem Marei,25-26,2-8-2026,0,Changwon LG Sakers,Anyang KGC,W,Starter,C,29.83,15,4,12,0.333,0,0,0,7,10,0.7,6,16,22,5,1,1,4,3,0.457317073,50.9,4,12,0.333,0.684,3
Assem Marei,25-26,2-5-2026,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Bench,PF,20.55,22,10,18,0.556,0,0,0,2,2,1,4,9,13,5,1,1,1,1,0.582627119,50.1,10,18,0.556,0.967,2
Assem Marei,25-26,2-3-2026,1,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,C,26.85,13,5,9,0.556,0,0,0,3,6,0.5,2,11,13,6,0,0,3,4,0.558419244,34.6,5,9,0.556,0.545,3
Assem Marei,25-26,1/31/2026,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,C,33.13,22,8,14,0.571,0,1,0,6,8,0.75,4,9,13,4,3,1,4,5,0.627853881,51.6,8,13,0.615,0.65,3
Assem Marei,25-26,1/28/2026,1,Changwon LG Sakers,Wonju Dongbu Promy,L,Starter,C,35.63,16,6,10,0.6,0,0,0,4,13,0.308,3,14,17,9,3,1,5,5,0.508905852,56.9,6,10,0.6,0.582,3
Assem Marei,25-26,1/25/2026,1,Changwon LG Sakers,Anyang KGC,W,Starter,C,33.27,15,5,11,0.455,0,0,0,5,7,0.714,3,9,12,9,4,0,4,0,0.532670455,50.9,5,11,0.455,0.543,2
Assem Marei,25-26,1/23/2026,0,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,C,31.52,29,11,16,0.688,0,0,0,7,10,0.7,4,17,21,7,2,1,4,3,0.710784314,69.7,11,16,0.688,0.774,8
Assem Marei,25-26,1/15/2026,0,Changwon LG Sakers,Seoul SK,L,Starter,C,28.90,16,6,9,0.667,0,0,0,4,6,0.667,3,7,10,7,0,0,3,4,0.687285223,35.5,6,9,0.667,0.507,3
Assem Marei,25-26,1-12-2026,0,Changwon LG Sakers,Korea Gas Corporation,L,Bench,PF,16.38,8,3,12,0.25,0,0,0,2,4,0.5,6,4,10,2,1,0,3,3,0.290697674,23,3,12,0.25,1.023,2
Assem Marei,25-26,1-10-2026,1,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,PF,25.47,6,2,8,0.25,0,0,0,2,6,0.333,1,5,6,9,1,0,3,3,0.281954887,26.7,2,8,0.25,0.536,3
Assem Marei,25-26,1-7-2026,1,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,C,26.18,13,5,10,0.5,0,0,0,3,6,0.5,6,10,16,4,1,0,2,4,0.514240506,39.2,5,10,0.5,0.559,3
Assem Marei,25-26,1-4-2026,0,Changwon LG Sakers,Suwon KT Sonicboom,L,Starter,C,35.35,19,9,21,0.429,0,0,0,1,4,0.25,8,13,21,10,1,0,3,2,0.417398946,59.2,9,21,0.429,0.729,2
Assem Marei,25-26,1-2-2026,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,C,23.25,16,7,12,0.583,0,0,0,2,4,0.5,5,8,13,1,0,0,0,4,0.581395349,33.1,7,12,0.583,0.592,2
Assem Marei,25-26,12/31/2025,0,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,C,25.87,11,5,13,0.385,0,0,0,1,1,1,3,6,9,3,2,0,4,5,0.40922619,28.3,5,13,0.385,0.674,3
Assem Marei,25-26,12/28/2025,1,Changwon LG Sakers,Anyang KGC,L,Bench,PF,13.32,12,6,6,1,0,0,0,0,0,0,0,6,6,0,1,0,4,2,1,18.2,6,6,1,0.751,2
Assem Marei,25-26,12/26/2025,0,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,C,43.18,22,9,15,0.6,1,1,1,3,6,0.5,6,13,19,6,4,1,6,4,0.623582766,62.8,8,14,0.571,0.547,3
Assem Marei,25-26,12/23/2025,1,Changwon LG Sakers,Korea Gas Corporation,W,Starter,C,35.28,22,7,15,0.467,0,0,0,8,14,0.571,8,12,20,7,2,0,1,3,0.519848771,61.5,7,15,0.467,0.628,2
Assem Marei,25-26,12/21/2025,1,Changwon LG Sakers,Wonju Dongbu Promy,W,Starter,C,21.30,6,3,7,0.429,0,0,0,0,0,0,3,11,14,2,0,0,1,5,0.428571429,24.8,3,7,0.429,0.376,7
Assem Marei,25-26,12/14/2025,0,Changwon LG Sakers,Goyang Sono Skygunners,W,Starter,C,34.28,23,11,16,0.688,0,0,0,1,2,0.5,9,12,21,10,2,0,3,4,0.681279621,66.2,11,16,0.688,0.58,1
Assem Marei,25-26,12/13/2025,0,Changwon LG Sakers,Seoul SK,L,Starter,C,27.17,12,6,10,0.6,0,0,0,0,0,0,5,7,12,4,2,0,1,1,0.6,37.4,6,10,0.6,0.405,6
Assem Marei,25-26,12-7-2025,1,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,PF,25.87,20,8,18,0.444,0,0,0,4,9,0.444,13,6,19,2,1,0,3,4,0.455373406,45.8,8,18,0.444,0.965,1
Assem Marei,25-26,12-6-2025,1,Changwon LG Sakers,Ulsan Mobis Phoebus,W,Starter,C,26.73,10,5,8,0.625,0,0,0,0,3,0,1,7,8,7,1,1,4,2,0.536480687,32.1,5,8,0.625,0.498,2
Assem Marei,25-26,12-4-2025,1,Changwon LG Sakers,Korea Gas Corporation,L,Starter,C,33.47,17,7,18,0.389,0,0,0,3,6,0.5,6,5,11,5,4,0,3,5,0.411821705,46.7,7,18,0.389,0.706,18
Assem Marei,25-26,11/16/2025,0,Changwon LG Sakers,Anyang KGC,W,Starter,C,33.05,22,10,20,0.5,0,0,0,2,5,0.4,8,12,20,7,5,0,0,2,0.495495495,71.5,10,20,0.5,0.672,1
Assem Marei,25-26,11/15/2025,0,Changwon LG Sakers,Suwon KT Sonicboom,W,Starter,C,23.62,19,8,13,0.615,0,0,0,3,6,0.5,6,9,15,2,2,0,2,1,0.60741688,44,8,13,0.615,0.747,3
Assem Marei,25-26,11-12-2025,0,Changwon LG Sakers,Seoul Samsung Thunders,W,Starter,C,32.42,22,9,13,0.692,0,0,0,4,6,0.667,6,11,17,6,3,0,2,4,0.703324808,58.4,9,13,0.692,0.544,2
Assem Marei,25-26,11-10-2025,1,Changwon LG Sakers,Jeonju KCC Egis,W,Starter,C,30.43,12,5,10,0.5,0,0,0,2,2,1,5,9,14,8,2,1,2,2,0.551470588,47.8,5,10,0.5,0.423,2
Assem Marei,25-26,11-8-2025,0,Changwon LG Sakers,Wonju Dongbu Promy,L,Starter,C,24.82,13,6,13,0.462,0,0,0,1,2,0.5,4,7,11,1,2,2,0,4,0.468299712,39.7,6,13,0.462,0.559,6
Assem Marei,25-26,11-2-2025,0,Changwon LG Sakers,Seoul SK,W,Starter,C,35.90,15,7,10,0.7,0,0,0,1,2,0.5,2,12,14,8,3,1,6,1,0.689338235,49.8,7,10,0.7,0.47,1
